"","zip","name","addr","lat","lng","city"
"88",10356,"CENTURY PHARMACY","159 EAST BROADWAY",40.714021,-73.9903954,"NEW YORK"
"89",72390,"Grand Health Pharmacy Inc","351 Grand St",40.716664,-73.989542,"New York"
"90",20908,"COLUMBIA DRUGS","55 COLUMBIA ST",40.7164638,-73.9805835,"NEW YORK"
"91",10741,"MEDIEXPRESS","78 CLINTON ST",40.718741,-73.98501,"NEW YORK"
"92",69443,"Olive Tree Pharmacy","106 Ridge St",40.718691,-73.983131,"New York"
"93",69370,"Longevity Pharmacy Llc","96 E Broadway",40.713984,-73.993486,"New York"
"94",72453,"Century Grand Inc","302a Grand St",40.717681,-73.991527,"New York"
"95",11422,"1699 FANCY PHARMACY INC","131 ESSEX ST",40.7198811,-73.9875412,"NEW YORK"
"96",72560,"Metrocare Rx Inc","59 E Broadway",40.7134209,-73.9952689,"New York"
"97",72472,"Forever Health Pharmacy I  Llc","244 Grand St.",40.718459,-73.994179,"New York"
"98",21228,"BOWERY PHARMACY","95 BOWERY",40.717383,-73.995264,"NEW YORK"
"99",21325,"BEST CARE PHARMACY CORP","28 E BROADWAY",40.713722,-73.996671,"NEW YORK"
"100",72463,"Abc Pharmacy V Corp","26 East Broadway",40.713726,-73.996763,"New York"
"101",21144,"BIOMED DRUGS AND SURGICAL SUPPLY CO INC","50 3RD AVE",40.731028,-73.989234,"NEW YORK"
"102",72571,"Abacus Pharmacy Inc","168 2nd Ave",40.7301055,-73.986361,"New York"
"103",10284,"NYC PHARMACY","206 FIRST AVE",40.730232,-73.983133,"NEW YORK"
"104",10921,"ESQUIRE PHARMACY","277 1ST AVE",40.7326369,-73.982005,"NEW YORK"
"105",10107,"UNIVERSITY CHEMISTS","74 UNIVERSITY PL",40.733329,-73.99368,"NEW YORK"
"106",21106,"BLOCK DRUG STORES","101 SECOND AVE",40.727437,-73.988935,"NEW YORK"
"107",10131,"WHITNEY CHEMIST","50 UNIVERSITY PL",40.7326352,-73.9939351,"NEW YORK"
"108",11266,"ELLIOTT PHARMACY","250 3RD AVE",40.737342,-73.984584,"NEW YORK"
"109",10301,"METRO DRUGS","7 W 14TH ST",40.7364266,-73.9945754,"NEW YORK"
"110",10190,"PROHEALTH PHARMACY","385 SECOND AVE",40.7374207,-73.9812652,"NEW YORK"
"111",11454,"RITE WAY DRUGS AND SURGICAL","371 1ST AVE",40.7360203,-73.9791639,"NEW YORK"
"112",21027,"EQUAL CARE PHARMACY INC","753 EAST 5TH STREET STORE A",40.7275043,-73.9800645,"NEW YORK"
"113",20927,"HALPERN PHCY","333 E 23RD ST",40.7375752,-73.980108,"NEW YORK"
"114",10296,"MEDILANE DRUGS","227 AVE B",40.729145,-73.978,"NEW YORK"
"115",72447,"Brentwood Pharmacy","48 W 8th St",40.733186,-73.9986779,"New York"
"116",69359,"Uma Pharmacy Corp","446 6th Ave",40.7349336,-73.9983277,"New York"
"117",11144,"AVALON CHEMISTS","7 2ND AVE",40.724048,-73.9913739,"NEW YORK"
"118",69355,"East Village Rx Center","41 Ave A",40.7236134,-73.9853147,"New York"
"119",10607,"C O BIGELOW CHEMISTS INC","414 6TH AVE",40.7340087,-73.999251,"NEW YORK"
"120",11231,"AVENUE C PHARMACY","178 AVE C",40.726483,-73.9770601,"NEW YORK"
"121",11275,"BATTERY PARK PHARMACY INC","327 S END AVE",40.7105092,-74.0162301,"NEW YORK"
"122",10441,"DOWNTOWN PHARMACY","165 WILLIAM ST",40.7101611,-74.005847,"NEW YORK"
"123",10875,"DOWNTOWN PHARMACY","19 BEEKMAN STREET",40.710761,-74.006314,"NEW YORK"
"124",69749,"Beekman Pharmacy","19 Beekman St",40.7107649,-74.0061004,"New York"
"125",10514,"EVE AND MICHAEL PHARMACY INC","295 GREENWICH ST",40.715705,-74.010887,"NEW YORK"
"126",20979,"KINGS PHARMACY","5 HUDSON ST",40.7158214,-74.0092979,"NEW YORK"
"127",10859,"GENERATION PHARMACY LLC","31 33 OLIVER ST",40.712069,-73.99792,"NEW YORK"
"128",72509,"Prime Essentials Llc","345 Broadway",40.7166736,-74.0042028,"New York"
"129",21304,"MEDPHARM DRUG AND TRADING INC","61 CATHERINE ST",40.7112817,-73.9967468,"NEW YORK"
"130",21110,"FOREVER HEALTH PHARMACY INC","2 EAST BROADWAY",40.713619,-73.997523,"NEW YORK"
"131",11391,"WING ON PHARMACY INC","18 E BROADWAY",40.7135012,-73.9970765,"NEW YORK"
"132",21225,"BROADWAY DOWNTOWN PHARMACY INC","373 BROADWAY",40.7177873,-74.0032782,"NEW YORK"
"133",21143,"ALISONS PHARMACY INC","12 BOWERY",40.7144679,-73.997622,"NEW YORK"
"136",72565,"E Care Pharmacy Corp","48 Mott St",40.715358,-73.998481,"New York"
"137",20804,"METRO PHARM INC","92 BAXTER ST",40.7167236,-73.9998237,"NEW YORK"
"138",69350,"Pancare Pharmacy Inc","22 Bowery",40.7148054,-73.9972242,"New York"
"139",69744,"Aid Pharmacy Ny Corp","139 Centre St",40.717466,-74.0008299,"New York"
"140",11174,"CONFUCIUS PHARMACY","25 BOWERY ST",40.7147614,-73.9968728,"NEW YORK"
"144",72384,"Nyco Chemist Ii Inc","129 Montague St",40.694875,-73.994041,"Brooklyn"
"145",69237,"Namdor Inc","101 Clark St",40.6975504,-73.9927735,"Brooklyn"
"146",11131,"HEIGHTS APOTHECARY","79 ATLANTIC AVE",40.6911465,-73.9975722,"BROOKLYN"
"148",21159,"A-Z DRUG CORPORATION","150 JORALEMON ST",40.6928503,-73.9932313,"BROOKLYN"
"149",72504,"Atlantic Heights Specialty Script Corp","349 Henry St",40.689549,-73.996461,"Brooklyn"
"150",21264,"EVON PHARMACY","160 ATLANTIC AVE",40.6901658,-73.9941977,"BROOKLYN"
"154",69406,"Nyco Chemists Inc","104 Jay Street",40.7019506,-73.9868234,"Brooklyn"
"170",21206,"SOHO PHARMACY","3 WALKER ST",40.7199896,-74.0055525,"NEW YORK"
"171",11124,"FAMILY CHOICE PHARMACY CORP.","221 CANAL ST 2ND FL",40.7199258,-74.00504,"NEW YORK"
"177",10380,"BUY RITE PHARMACY II","106 LAFAYETTE ST",40.7179779,-74.0009752,"NEW YORK"
"180",20955,"BAC AI PHARMACY","216 CANAL ST B",40.717036,-73.999275,"NEW YORK"
"196",20981,"NEW YORK PHARMACY INC","131 WALKER ST",40.717294,-73.9993855,"NEW YORK"
"197",21089,"CANAL STREET PHARMACY INC","210 212 CANAL ST",40.716894,-73.998993,"NEW YORK"
"198",20954,"CANALBERRY PHARMACY","84 MULBERRY ST",40.716482,-73.998666,"NEW YORK"
"200",11112,"EZ CARE PHARMACY LLC","127A LAFAYETTE ST",40.7189026,-74.0000716,"NEW YORK"
"225",20934,"EAST DRIVE PHARMACY INC","93 AVE D",40.723287,-73.976631,"NEW YORK"
"229",11374,"LOISAIDA DRUGS AND SURGICALS","273 E 3RD STREET",40.7215549,-73.9802633,"NEW YORK"
"230",11292,"A P K G PHARMACY INC","360 E 4TH ST",40.7214715,-73.9782823,"NEW YORK"
"245",20826,"PHARMACARE PHARMACY","483 FIRST AVE",40.7404314,-73.9759978,"NEW YORK"
"247",21078,"NATURES CURE PHARMACY INC","324 E 34TH ST",40.7440209,-73.974824,"NEW YORK"
"248",10518,"IRMAT PHARMACY","2 PARK AVE",40.746193,-73.982196,"NEW YORK"
"249",20812,"HEALTHSOURCE PHARMACY","120 E 34TH ST",40.7463229,-73.9803249,"NEW YORK"
"251",10635,"TOWN TOTAL HEALTH","6 E 32 ST 5TH FL",40.74727,-73.9800645,"NEW YORK"
"252",21002,"MADISON PHCY AND SURGICAL SUPPLY CO","161 MADISON AVE UNIT STE 1NW",40.74727,-73.9800645,"NEW YORK"
"254",20940,"PASTEUR PHARMACY","53 E 34TH ST",40.747645,-73.981919,"NEW YORK"
"268",10132,"GROVE DRUGS INC","302 W 12TH STREET",40.737326,-74.0046909,"NEW YORK"
"269",72418,"Seventh Elm Drug Corp","56 7th Ave",40.73838,-73.999915,"New York"
"272",21050,"KIDS RX","523 HUDSON ST",40.7340045,-74.0062751,"NEW YORK"
"274",11252,"VILLAGE APOTHECARY INC","346 BLEECKER ST",40.7339384,-74.0045528,"NEW YORK"
"275",9765,"TUCKER DRUGS","1000 WASHINGTON ST",40.748579,-74.0275189,"HOBOKEN"
"281",65585,"Thompson Chemists","137 Thompson St",40.726705,-74.001429,"New York"
"282",69491,"Dynasty Drug And Trading Inc","208 Mott St",40.7216494,-73.9954343,"New York"
"284",10209,"VILLY PHARMACY INC","179 GRAND ST",40.719233,-73.997887,"NEW YORK"
"285",72517,"Wellness Rx Pharmacy Inc","206 Grand St",40.719229,-73.996273,"New York"
"286",10136,"AVIGNONE CHEMISTS LTD","281 6TH AVE",40.729957,-74.002531,"NEW YORK"
"287",21232,"CENTRAL PHARMACY","138 MOTT STREET",40.71879,-73.9965626,"NEW YORK"
"288",69353,"Pharmax Inc","207 Grand St",40.718772,-73.996373,"New York"
"290",10877,"BUY RITE PHARMACY IV","215-7 GRAND ST",40.7230394,-74.0058131,"NEW YORK"
"291",20966,"HEALTH CITY PHARMACY","137 MOTT ST",40.718602,-73.996961,"NEW YORK"
"292",72537,"A M Pharmacy Ii Inc","219 Grand Street",40.718657,-73.995921,"New York"
"294",20783,"ALL HEALTH PHARMACY CORP","118 MOTT ST",40.7179902,-73.9970055,"NEW YORK"
"296",20866,"FIRST PHARMACEUTICAL CORP","82 ELIZABETH ST",40.7180219,-73.9960482,"NEW YORK"
"297",20914,"HEALTHY PHARMACY","108 BOWERY",40.718031,-73.995377,"NEW YORK"
"300",21107,"HESTER PHARMACY CORP","151 155 HESTER STREET",40.7174545,-73.9958756,"NEW YORK"
"307",11113,"HUDSON SQUARE PHARMACY","345 HUDSON ST",40.7277458,-74.0072868,"NEW YORK"
"320",10814,"CANAL PHARMACY INC","196 CANAL ST",40.716724,-73.998265,"NEW YORK"
"348",21115,"THE CHEMIST SHOP","30 EAST 40TH ST",40.751215,-73.979589,"NEW YORK"
"349",20678,"WILLNER CHEMISTS","100 PARK AVE",40.751211,-73.978602,"NEW YORK"
"350",21104,"PROHEALTH PHARMACY","370 LEVINGTON AVE",40.7507145,-73.9766068,"NEW YORK"
"356",72487,"Maksoud Rx Corp","800 2nd Avenue",40.7499506,-73.9719509,"New York"
"359",72578,"Reliacare Alliance","755 2nd Ave Fl",40.7519846,-73.9697795,"New York"
"363",20952,"TURTLE BAY CHEMISTS","901 2ND AVE",40.7536708,-73.9694308,"NEW YORK"
"366",10928,"NEW YORK RX INC","875 THIRD AVE",40.757319,-73.969488,"NEW YORK"
"367",20912,"CORBY CHEMISTS","988 1ST AVE",40.7566605,-73.9640929,"NEW YORK"
"368",11277,"PERLA PHARMACY","1000 1ST AVE",40.7569309,-73.9639023,"NEW YORK"
"371",11202,"CONCORD CHEMIST","485 MADISON AVE",40.758785,-73.974498,"NEW YORK"
"372",21028,"HEALTHSOURCE PHARMACY III INC","235 E 57TH ST",40.759817,-73.9657579,"NEW YORK"
"373",20936,"POLLOCK BAILEY PHARMACY","405 E 57TH ST",40.758374,-73.962482,"NEW YORK"
"377",10103,"BOYDS OF MADISON","968 THIRD AVE",40.760951,-73.967412,"NEW YORK"
"381",20889,"THE CURE PHARMACY","1025 A THIRD AVE",40.7626452,-73.9657807,"NEW YORK"
"402",11051,"BOWEN PHARMACY INC","881TENTH AVE",40.7695183,-73.9882908,"NEW YORK"
"403",11418,"TOWN DRUG AND SURGICAL","428 WEST 59TH STREET",40.7703874,-73.9876167,"NEW YORK"
"405",10155,"ARROW PHARMACY INC","883 9TH AVE",40.7681911,-73.9855485,"NEW YORK"
"409",10640,"JAROS DRUGS","25 CENTRAL PARK W",40.770605,-73.9810849,"NEW YORK"
"410",21344,"CHATEAU DRUG AND HOMECARE","181 AMSTERDAM AVE",40.7761346,-73.983422,"NEW YORK"
"411",20593,"THOMAS DRUGS INC","171 COLUMBUS AVE",40.7746105,-73.9808132,"NEW YORK"
"412",20762,"GOODRICH PHARMACY","104 W 70TH ST",40.775968,-73.980187,"NEW YORK CITY"
"413",20939,"MORRIS PHARMACY INC","1419 6TH AVE",40.7649829,-73.9767625,"NEW YORK"
"414",10368,"ABA NOUB","216 W 72ND ST",40.778791,-73.9828239,"NEW YORK"
"415",11160,"WEST SIDE PHARMACY","255 COLUMBUS AVE",40.7772892,-73.9788652,"NEW YORK"
"416",20956,"THERAPIE NY","309 COLUMBUS AVE",40.7790747,-73.9775576,"NEW YORK"
"419",10453,"APTHORP PHARMACY INC","2201 BROADWAY",40.783751,-73.980879,"NEW YORK"
"439",10606,"GALLERY DRUG","131 E 60TH ST",40.7630396,-73.9681104,"NEW YORK"
"442",20835,"HICKERY CHEMISTS III LTD","1258 THIRD AVE",40.7702472,-73.9602621,"NEW YORK"
"443",20945,"VALUE PRICE PHARMACY","1475 2ND AVE",40.7718949,-73.9561381,"NEW YORK"
"444",20943,"PRESCRIPTIONS EXCLUSIVE","1229 THIRD AVE",40.7690198,-73.96111,"NEW YORK"
"445",11032,"RAINBOW PHARMACY","1449 1ST AVE",40.769959,-73.9544568,"NEW YORK"
"446",20931,"L AND H PHARMACY","1065 LEXINGTON AVE",40.772494,-73.960467,"NEW YORK"
"447",72489,"H & C Chemists Inc","1299 1st Ave",40.7664917,-73.9570699,"New York"
"448",20757,"HEALTHSOURCE PHARMACY","1302 SECOND AVE",40.76656,-73.9599836,"NEW YORK"
"449",10667,"NEW DRUG LOFT","1103 LEXINGTON AVE",40.7737743,-73.9597427,"NEW YORK"
"450",11479,"METRO DRUGS","931 LEXINGTON AVE",40.767842,-73.96307,"NEW YORK"
"451",69361,"De Witt Rehab And Nursing Home Phcy","211 E 79th St",40.774329,-73.956383,"New York"
"452",72580,"City Drugs Ny Corp","1273 First Avenue",40.7655947,-73.9577013,"New York"
"453",11433,"EASTSIDE PHARMACY","1394 YORK AVE",40.768181,-73.952369,"NEW YORK"
"454",20918,"EISLER CHEMISTS","1142 LEXINGTON AVE",40.7749042,-73.9589705,"NEW YORK"
"455",21056,"VITAHEALTH APOTHECARY","1235 1ST AVE",40.7644352,-73.9584904,"NEW YORK"
"456",20899,"CHERRYS PHARMACY","207 E 66TH ST",40.7658898,-73.9632435,"NEW YORK"
"457",20767,"HEALTHWISE PHARMACY","1494 YORK AVE",40.7713114,-73.9504477,"NEW YORK"
"458",10140,"ZITOMER PHARMACY","969 MADISON AVE",40.7742433,-73.9636147,"NEW YORK"
"459",10137,"CLYDE CHEMISTS LTD","926 MADISON AVE",40.773032,-73.964932,"NEW YORK"
"460",20951,"TOWER CHEMISTS","1219 FIRST AVE",40.763969,-73.9591949,"NEW YORK"
"461",20930,"J LEON LASCOFF AND SON INC","1209 LEXINGTON AVE",40.776711,-73.957315,"NEW YORK"
"468",20903,"NEWTAN TIMMERMANN PHARMACY","799 LEXINGTON AVE",40.763854,-73.96668,"NEW YORK"
"471",20740,"PASTUER PHARMACY","806 LEXINGTON AVE",40.7643569,-73.966958,"NEW YORK"
"474",21213,"REGENCY PHARMACY","1207 2ND AVE",40.7635021,-73.96224,"NEW YORK"
"475",10832,"CAMBRIDGE CHEMISTS INC","855 LEXINGTON AVE",40.765628,-73.965388,"NEW YORK"
"479",20612,"GOLDBERGER'S PHARMACY","1200 1ST AVE",40.7633241,-73.9592444,"NEW YORK"
"490",21310,"PARK WEST PHARMACY","463 COLUMBUS AVE",40.783932,-73.973616,"NEW YORK"
"494",69336,"Lisalisa Inc","2330 Broadway",40.787321,-73.976865,"New York"
"495",69471,"P Drugs Inc","2345broadway",40.7880815,-73.9768393,"New York"
"506",20860,"PETERS PHARMACY AND VITAMINS INC","652 AMSTERDAM AVE",40.7913439,-73.9723673,"NEW YORK"
"507",11474,"IVAN PHARMACY","691 COLUMBUS AVE",40.7912532,-73.9686688,"NEW YORK"
"509",10612,"NEW AMSTERDAM DRUG MART INC","735 AMSTERDAM AVE",40.7938914,-73.9704623,"NEW YORK"
"515",11128,"VALLEY DRUGS","850 AMSTERDAM AVE",40.797655,-73.968137,"NEW YORK"
"516",10365,"90TH STREET PHARMACY","1260 MADISON AVE",40.7835435,-73.956895,"NEW YORK"
"518",21127,"CARNEGIE HILL PARAPHARMACIE","1331 MADISON AVENUE",40.785765,-73.9552304,"NEW YORK"
"519",11031,"QUICK RX","909 COLUMBUS AVE",40.7982332,-73.9635861,"NEW YORK"
"520",20921,"DITMARS ASTORIA PHARMACY","909 COLOMBUS AVE",40.7982332,-73.9635861,"NEW YORK"
"522",11280,"SUBA PHARMACEUTICAL PHARMACY","2721 BROADWAY",40.8001859,-73.9685669,"NEW YORK"
"524",10661,"SAN JUAN PHARMACY","960 AMSTERDAM AVE",40.801375,-73.965433,"NEW YORK"
"525",21095,"VENUS PHARMACY AND SUPPLIES","972 AMSTERDAM AVE",40.8016557,-73.9648454,"NEW YORK"
"526",69363,"The Jewish Home & Hospital","120 W 106th St",40.7995703,-73.9640117,"New York"
"529",20911,"COLUMBUS AVENUE PHARMACY","916 COLUMBUS AVE",40.7984876,-73.9634405,"NEW YORK"
"530",21277,"TOWN DRUG AND SURGICAL","1009 COLUMBUS AVE",40.8016214,-73.961164,"NEW YORK"
"532",11240,"TOWN DRUG","501 W 113 ST",40.8060596,-73.9652171,"NEW YORK"
"534",20722,"DRUG SHOPPE LLC","2074 8TH AVE",40.801943,-73.95677,"NEW YORK"
"536",69487,"Ajanta Pharmacy","2718 8th Ave",40.8050618,-73.9548978,"New York"
"537",10632,"HARTLEY PHARMACY","1219 AMSTERDAM AVE",40.8093044,-73.9592206,"NEW YORK"
"538",72501,"Sy Pharmacy Inc","215 W 116th St",40.803746,-73.953478,"New York"
"539",20709,"LENOX PHARMACY INC","27 LENOX AVE",40.7993366,-73.9517582,"NEW YORK"
"541",20583,"RENAISSANCE HLTH CARE NETWORK","115 W 116TH ST",40.8023886,-73.9504974,"NEW YORK"
"547",72452,"Harlem Rx Inc","102 D E F West 116 St",40.8021346,-73.9499447,"New York"
"549",10319,"MALCOLM PHARMACY INC","160 LENOX AVE",40.803295,-73.948435,"NEW YORK"
"556",21047,"ROR MADISON PHARMACY INC","1636 MADISON AVE",40.7958012,-73.9479375,"NEW YORK"
"558",20913,"NORTH PHARMACY","1791 MADISON AVE",40.8008977,-73.9441906,"NEW YORK"
"559",69454,"Rite Hope Pharmacy Inc","1793a Madison Avenue",40.80108,-73.9440779,"New York"
"560",10963,"QUICK RX PHARMACY","157 WEST 124TH STREET",40.8081869,-73.947965,"NEW YORK"
"562",20651,"CLAREMONT CHEMISTS","3181 BROADWAY",40.815486,-73.959058,"NEW YORK"
"563",10974,"MANHATTANVILLE PHARMACY INC","567 W 125TH ST",40.815547,-73.957724,"NEW YORK"
"565",10647,"GOOD HEALTH FAMILY PHARMACY","449 W 125TH ST",40.812842,-73.955377,"NEW YORK"
"566",20884,"HAMILTON PHARMACY INC","3293 BROADWAY",40.8187383,-73.9562581,"NEW YORK"
"567",21079,"OMEGA PHARMACY INC","1439 AMSTERDAM AVE",40.816395,-73.953635,"NEW YORK"
"568",10423,"FAMILY PHARMACY AND SURGICAL INC","379 W 125TH ST",40.811445,-73.953537,"NEW YORK"
"569",21036,"133RD ST PHARMACY INC","1473 AMSTERDAM AVE",40.817258,-73.953056,"NEW YORK"
"571",20919,"3340 BROADWAY PHARMACY INC","3340 BROADWAY",40.8201589,-73.954465,"NEW YORK"
"572",11146,"HAMILTON DRUG INC","5 HAMILTON PLACE",40.8210178,-73.9540395,"NEW YORK"
"573",10951,"LENDA PHARMACY INC","3397 BROADWAY",40.8219964,-73.9538726,"NEW YORK"
"575",10382,"FREDERICK PHARMACY INC","2452 8TH AVE",40.8142945,-73.9481344,"NEW YORK"
"576",10605,"139 PHARMACY INC","3415 BROADWAY",40.8225286,-73.9534843,"NEW YORK"
"577",20741,"OUT PATIENT PHARMACY INC","215 W 125TH ST",40.809699,-73.948935,"NEW YORK"
"582",21148,"VITAHEALTH APOTHECARY INC","1609 2ND AVE",40.776327,-73.953213,"NEW YORK"
"583",72538,"Tisane Pharmacy Llc","340 E 86th St",40.776976,-73.95038,"New York"
"584",10608,"CAPITOL CHEMISTS","1639 1ST AVE",40.776472,-73.950025,"NEW YORK"
"585",20750,"THIRD AVENUE PHARMACY AND SURGICAL INC","550 3RD AVE",40.7784841,-73.9542414,"NEW YORK"
"586",72576,"88th Street Drug Corp","1695 First Avenue",40.7781588,-73.9487036,"New York"
"587",10556,"88TH STREET APOTHECARY","1695 FIRST AVE",40.7780527,-73.9485434,"NEW YORK"
