raw	clean
11708	11708
11709	11709
11710	11710
11713	11713
11714	11714
11715	11715
11716	11716
11717	11717
11718	11718
11719	11719
11720	11720
11721	11721
11722	11722
11724	11724
11725	11725
11726	11726
11727	11727
11729	11729
11730	11730
11731	11731
11732	11732
11733	11733
11735	11735
11736	11736
11737	11737
11738	11738
11739	11739
11740	11740
11741	11741
11742	11742
11743	11743
11746	11746
11747	11747
11749	11749
11750	11750
11751	11751
11752	11752
11753	11753
11754	11754
11755	11755
11756	11756
11757	11757
11758	11758
11760	11760
11762	11762
11763	11763
11764	11764
11765	11765
11766	11766
11767	11767
11768	11768
11769	11769
11770	11770
11771	11771
11772	11772
11773	11773
11774	11774
11775	11775
11776	11776
11777	11777
11778	11778
11779	11779
11780	11780
11782	11782
11783	11783
11784	11784
11786	11786
11787	11787
11788	11788
11789	11789
11790	11790
11791	11791
11792	11792
11793	11793
11794	11794
11795	11795
11796	11796
11797	11797
11798	11798
11801	11801
11802	11802
11803	11803
11804	11804
11815	11815
11819	11819
11853	11853
11854	11854
11855	11855
11901	11901
11930	11930
11931	11931
11932	11932
11933	11933
11934	11934
11935	11935
11937	11937
11939	11939
11940	11940
11941	11941
11942	11942
11944	11944
11946	11946
11947	11947
11948	11948
11949	11949
11950	11950
11951	11951
11952	11952
11953	11953
11954	11954
11955	11955
11956	11956
11957	11957
11958	11958
11959	11959
11960	11960
11961	11961
11962	11962
11963	11963
11964	11964
11965	11965
11967	11967
11968	11968
11969	11969
11970	11970
11971	11971
11972	11972
11973	11973
11975	11975
11976	11976
11977	11977
11978	11978
11980	11980
12007	12007
12008	12008
12009	12009
12010	12010
12015	12015
12016	12016
12017	12017
12018	12018
12019	12019
12020	12020
12022	12022
12023	12023
12024	12024
12025	12025
12027	12027
12028	12028
12029	12029
12031	12031
12032	12032
12033	12033
12035	12035
12036	12036
12037	12037
12040	12040
12041	12041
12042	12042
12043	12043
12045	12045
12046	12046
12047	12047
12050	12050
12051	12051
12052	12052
12053	12053
12054	12054
12055	12055
12056	12056
12057	12057
12058	12058
12059	12059
12060	12060
12061	12061
12062	12062
12063	12063
12064	12064
12065	12065
12066	12066
12067	12067
12068	12068
12069	12069
12070	12070
12071	12071
12072	12072
12073	12073
12074	12074
12075	12075
12076	12076
12077	12077
12078	12078
12082	12082
12083	12083
12084	12084
12085	12085
12086	12086
12087	12087
12089	12089
12090	12090
12092	12092
12093	12093
12094	12094
12095	12095
12106	12106
12107	12107
12108	12108
12110	12110
12115	12115
12116	12116
12117	12117
12118	12118
12120	12120
12121	12121
12122	12122
12123	12123
12124	12124
12125	12125
12128	12128
12130	12130
12131	12131
12132	12132
12133	12133
12134	12134
12136	12136
12137	12137
12138	12138
12139	12139
12140	12140
12141	12141
12143	12143
12144	12144
12147	12147
12148	12148
12149	12149
12150	12150
12151	12151
12153	12153
12154	12154
12155	12155
12156	12156
12157	12157
12158	12158
12159	12159
12160	12160
12161	12161
12164	12164
12165	12165
12166	12166
12167	12167
12168	12168
12169	12169
12170	12170
12172	12172
12173	12173
12174	12174
12175	12175
12176	12176
12177	12177
12180	12180
12181	12181
12182	12182
12183	12183
12184	12184
12185	12185
12186	12186
12187	12187
12188	12188
12189	12189
12190	12190
12192	12192
12193	12193
12194	12194
12195	12195
12196	12196
12197	12197
12198	12198
12201	12201
12202	12202
12203	12203
12204	12204
12205	12205
12206	12206
12207	12207
12208	12208
12209	12209
12210	12210
12211	12211
12212	12212
12214	12214
12220	12220
12222	12222
12223	12223
12224	12224
12225	12225
12226	12226
12227	12227
12228	12228
12229	12229
12230	12230
12231	12231
12232	12232
12233	12233
12234	12234
12235	12235
12236	12236
12237	12237
12238	12238
12239	12239
12240	12240
12241	12241
12242	12242
12243	12243
12244	12244
12245	12245
12246	12246
12247	12247
12248	12248
12249	12249
12250	12250
12252	12252
12255	12255
12256	12256
12257	12257
12260	12260
12261	12261
12288	12288
12301	12301
12302	12302
12303	12303
12304	12304
12305	12305
12306	12306
12307	12307
12308	12308
12309	12309
12325	12325
12345	12345
12401	12401
12402	12402
12404	12404
12405	12405
12406	12406
12407	12407
12409	12409
12410	12410
12411	12411
12412	12412
12413	12413
12414	12414
12416	12416
12417	12417
12418	12418
12419	12419
12420	12420
12421	12421
12422	12422
12423	12423
12424	12424
12427	12427
12428	12428
12429	12429
12430	12430
12431	12431
12432	12432
12433	12433
12434	12434
12435	12435
12436	12436
12438	12438
12439	12439
12440	12440
12441	12441
12442	12442
12443	12443
12444	12444
12446	12446
12448	12448
12449	12449
12450	12450
12451	12451
12452	12452
12453	12453
12454	12454
12455	12455
12456	12456
12457	12457
12458	12458
12459	12459
12460	12460
12461	12461
12463	12463
12464	12464
12465	12465
12466	12466
12468	12468
12469	12469
12470	12470
12471	12471
12472	12472
12473	12473
12474	12474
12475	12475
12477	12477
12480	12480
12481	12481
12482	12482
12483	12483
12484	12484
12485	12485
12486	12486
12487	12487
12489	12489
12490	12490
12491	12491
12492	12492
12493	12493
12494	12494
12495	12495
12496	12496
12498	12498
12501	12501
12502	12502
12503	12503
12504	12504
12506	12506
12507	12507
12508	12508
12510	12510
12511	12511
12512	12512
12513	12513
12514	12514
12515	12515
12516	12516
12517	12517
12518	12518
12520	12520
12521	12521
12522	12522
12523	12523
12524	12524
12525	12525
12526	12526
12527	12527
12528	12528
12529	12529
12530	12530
12531	12531
12533	12533
12534	12534
12537	12537
12538	12538
12540	12540
12541	12541
12542	12542
12543	12543
12544	12544
12545	12545
12546	12546
12547	12547
12548	12548
12549	12549
12550	12550
12551	12551
12552	12552
12553	12553
12555	12555
12561	12561
12563	12563
12564	12564
12565	12565
12566	12566
12567	12567
12568	12568
12569	12569
12570	12570
12571	12571
12572	12572
12574	12574
12575	12575
12577	12577
12578	12578
12580	12580
12581	12581
12582	12582
12583	12583
12584	12584
12585	12585
12586	12586
12588	12588
12589	12589
12590	12590
12592	12592
12593	12593
12594	12594
12601	12601
12602	12602
12603	12603
12604	12604
12701	12701
12719	12719
12720	12720
12721	12721
12722	12722
12723	12723
12724	12724
12725	12725
12726	12726
12727	12727
12729	12729
12732	12732
12733	12733
12734	12734
12736	12736
12737	12737
12738	12738
12740	12740
12741	12741
12742	12742
12743	12743
12745	12745
12746	12746
12747	12747
12748	12748
12749	12749
12750	12750
12751	12751
12752	12752
12754	12754
12758	12758
12759	12759
12760	12760
12762	12762
12763	12763
12764	12764
12765	12765
12766	12766
12767	12767
12768	12768
12769	12769
12770	12770
12771	12771
12775	12775
12776	12776
12777	12777
12778	12778
12779	12779
12780	12780
12781	12781
12783	12783
12784	12784
12785	12785
12786	12786
12787	12787
12788	12788
12789	12789
12790	12790
12791	12791
12792	12792
12801	12801
12803	12803
12804	12804
12808	12808
12809	12809
12810	12810
12811	12811
12812	12812
12814	12814
12815	12815
12816	12816
12817	12817
12819	12819
12820	12820
12821	12821
12822	12822
12823	12823
12824	12824
12827	12827
12828	12828
12831	12831
12832	12832
12833	12833
12834	12834
12835	12835
12836	12836
12837	12837
12838	12838
12839	12839
12841	12841
12842	12842
12843	12843
12844	12844
12845	12845
12846	12846
12847	12847
12848	12848
12849	12849
12850	12850
12851	12851
12852	12852
12853	12853
12854	12854
12855	12855
12856	12856
12857	12857
12858	12858
12859	12859
12860	12860
12861	12861
12862	12862
12863	12863
12864	12864
12865	12865
12866	12866
12870	12870
12871	12871
12872	12872
12873	12873
12874	12874
12878	12878
12879	12879
12883	12883
12884	12884
12885	12885
12886	12886
12887	12887
12901	12901
12903	12903
12910	12910
12911	12911
12912	12912
12913	12913
12914	12914
12915	12915
12916	12916
12917	12917
12918	12918
12919	12919
12920	12920
12921	12921
12922	12922
12923	12923
12924	12924
12926	12926
12927	12927
12928	12928
12929	12929
12930	12930
12932	12932
12933	12933
12934	12934
12935	12935
12936	12936
12937	12937
12939	12939
12941	12941
12942	12942
12943	12943
12944	12944
12945	12945
12946	12946
12949	12949
12950	12950
12952	12952
12953	12953
12955	12955
12956	12956
12957	12957
12958	12958
12959	12959
12960	12960
12961	12961
12962	12962
12964	12964
12965	12965
12966	12966
12967	12967
12969	12969
12970	12970
12972	12972
12973	12973
12974	12974
12975	12975
12976	12976
12977	12977
12978	12978
12979	12979
12980	12980
12981	12981
12983	12983
12985	12985
12986	12986
12987	12987
12989	12989
12992	12992
12993	12993
12995	12995
12996	12996
12997	12997
12998	12998
13020	13020
13021	13021
13022	13022
13024	13024
13026	13026
13027	13027
13028	13028
13029	13029
13030	13030
13031	13031
13032	13032
13033	13033
13034	13034
13035	13035
13036	13036
13037	13037
13039	13039
13040	13040
13041	13041
13042	13042
13043	13043
13044	13044
13045	13045
13051	13051
13052	13052
13053	13053
13054	13054
13056	13056
13057	13057
13060	13060
13061	13061
13062	13062
13063	13063
13064	13064
13065	13065
13066	13066
13068	13068
13069	13069
13071	13071
13072	13072
13073	13073
13074	13074
13076	13076
13077	13077
13078	13078
13080	13080
13081	13081
13082	13082
13083	13083
13084	13084
13087	13087
13088	13088
13089	13089
13090	13090
13092	13092
13093	13093
13101	13101
13102	13102
13103	13103
13104	13104
13107	13107
13108	13108
13110	13110
13111	13111
13112	13112
13113	13113
13114	13114
13115	13115
13116	13116
13117	13117
13118	13118
13119	13119
13120	13120
13121	13121
13122	13122
13123	13123
13124	13124
13126	13126
13131	13131
13132	13132
13134	13134
13135	13135
13136	13136
13137	13137
13138	13138
13139	13139
13140	13140
13141	13141
13142	13142
13143	13143
13144	13144
13145	13145
13146	13146
13147	13147
13148	13148
13152	13152
13153	13153
13154	13154
13155	13155
13156	13156
13157	13157
13158	13158
13159	13159
13160	13160
13162	13162
13163	13163
13164	13164
13165	13165
13166	13166
13167	13167
13201	13201
13202	13202
13203	13203
13204	13204
13205	13205
13206	13206
13207	13207
13208	13208
13209	13209
13210	13210
13211	13211
13212	13212
13214	13214
13215	13215
13217	13217
13218	13218
13219	13219
13220	13220
13221	13221
13224	13224
13225	13225
13235	13235
13244	13244
13250	13250
13251	13251
13252	13252
13261	13261
13290	13290
13301	13301
13302	13302
13303	13303
13304	13304
13305	13305
13308	13308
13309	13309
13310	13310
13312	13312
13313	13313
13314	13314
13315	13315
13316	13316
13317	13317
13318	13318
13319	13319
13320	13320
13321	13321
13322	13322
13323	13323
13324	13324
13325	13325
13326	13326
13327	13327
13328	13328
13329	13329
13331	13331
13332	13332
13333	13333
13334	13334
13335	13335
13337	13337
13338	13338
13339	13339
13340	13340
13341	13341
13342	13342
13343	13343
13345	13345
13346	13346
13348	13348
13350	13350
13352	13352
13353	13353
13354	13354
13355	13355
13357	13357
13360	13360
13361	13361
13362	13362
13363	13363
13364	13364
13365	13365
13367	13367
13368	13368
13401	13401
13402	13402
13403	13403
13404	13404
13406	13406
13407	13407
13408	13408
13409	13409
13410	13410
13411	13411
13413	13413
13415	13415
13416	13416
13417	13417
13418	13418
13420	13420
13421	13421
13424	13424
13425	13425
13426	13426
13428	13428
13431	13431
13433	13433
13435	13435
13436	13436
13437	13437
13438	13438
13439	13439
13440	13440
13441	13441
13442	13442
13449	13449
13450	13450
13452	13452
13454	13454
13455	13455
13456	13456
13457	13457
13459	13459
13460	13460
13461	13461
13464	13464
13465	13465
13468	13468
13469	13469
13470	13470
13471	13471
13472	13472
13473	13473
13475	13475
13476	13476
13477	13477
13478	13478
13479	13479
13480	13480
13482	13482
13483	13483
13484	13484
13485	13485
13486	13486
13488	13488
13489	13489
13490	13490
13491	13491
13492	13492
13493	13493
13494	13494
13495	13495
13501	13501
13502	13502
13503	13503
13504	13504
13505	13505
13599	13599
13601	13601
13602	13602
13603	13603
13605	13605
13606	13606
13607	13607
13608	13608
13611	13611
13612	13612
13613	13613
13614	13614
13615	13615
13616	13616
13617	13617
13618	13618
13619	13619
13620	13620
13621	13621
13622	13622
13623	13623
13624	13624
13625	13625
13626	13626
13627	13627
13628	13628
13630	13630
13631	13631
13632	13632
13633	13633
13634	13634
13635	13635
13636	13636
13637	13637
13638	13638
13639	13639
13640	13640
13641	13641
13642	13642
13643	13643
13645	13645
13646	13646
13647	13647
13648	13648
13649	13649
13650	13650
13651	13651
13652	13652
13654	13654
13655	13655
13656	13656
13657	13657
13658	13658
13659	13659
13660	13660
13661	13661
13662	13662
13664	13664
13665	13665
13666	13666
13667	13667
13668	13668
13669	13669
13670	13670
13671	13671
13672	13672
13673	13673
13674	13674
13675	13675
13676	13676
13677	13677
13678	13678
13679	13679
13680	13680
13681	13681
13682	13682
13683	13683
13684	13684
13685	13685
13687	13687
13690	13690
13691	13691
13692	13692
13693	13693
13694	13694
13695	13695
13696	13696
13697	13697
13699	13699
13730	13730
13731	13731
13732	13732
13733	13733
13734	13734
13736	13736
13737	13737
13738	13738
13739	13739
13740	13740
13743	13743
13744	13744
13745	13745
13746	13746
13747	13747
13748	13748
13749	13749
13750	13750
13751	13751
13752	13752
13753	13753
13754	13754
13755	13755
13756	13756
13757	13757
13758	13758
13760	13760
13761	13761
13762	13762
13763	13763
13774	13774
13775	13775
13776	13776
13777	13777
13778	13778
13780	13780
13782	13782
13783	13783
13784	13784
13786	13786
13787	13787
13788	13788
13790	13790
13794	13794
13795	13795
13796	13796
13797	13797
13801	13801
13802	13802
13803	13803
13804	13804
13806	13806
13807	13807
13808	13808
13809	13809
13810	13810
13811	13811
13812	13812
13813	13813
13814	13814
13815	13815
13820	13820
13825	13825
13826	13826
13827	13827
13830	13830
13832	13832
13833	13833
13834	13834
13835	13835
13837	13837
13838	13838
13839	13839
13840	13840
13841	13841
13842	13842
13843	13843
13844	13844
13845	13845
13846	13846
13847	13847
13848	13848
13849	13849
13850	13850
13851	13851
13856	13856
13859	13859
13860	13860
13861	13861
13862	13862
13863	13863
13864	13864
13865	13865
13901	13901
13902	13902
13903	13903
13904	13904
13905	13905
14001	14001
14004	14004
14005	14005
14006	14006
14008	14008
14009	14009
14010	14010
14011	14011
14012	14012
14013	14013
14020	14020
14021	14021
14024	14024
14025	14025
14026	14026
14027	14027
14028	14028
14029	14029
14030	14030
14031	14031
14032	14032
14033	14033
14034	14034
14035	14035
14036	14036
14037	14037
14038	14038
14039	14039
14040	14040
14041	14041
14042	14042
14043	14043
14047	14047
14048	14048
14051	14051
14052	14052
14054	14054
14055	14055
14056	14056
14057	14057
14058	14058
14059	14059
14060	14060
14061	14061
14062	14062
14063	14063
14065	14065
14066	14066
14067	14067
14068	14068
14069	14069
14070	14070
14072	14072
14075	14075
14080	14080
14081	14081
14082	14082
14083	14083
14085	14085
14086	14086
14091	14091
14092	14092
14094	14094
14095	14095
14098	14098
14101	14101
14102	14102
14103	14103
14105	14105
14107	14107
14108	14108
14109	14109
14110	14110
14111	14111
14112	14112
14113	14113
14120	14120
14125	14125
14126	14126
14127	14127
14129	14129
14130	14130
14131	14131
14132	14132
14133	14133
14134	14134
14135	14135
14136	14136
14138	14138
14139	14139
14140	14140
14141	14141
14143	14143
14144	14144
14145	14145
14150	14150
14151	14151
14166	14166
14167	14167
14168	14168
14169	14169
14170	14170
14171	14171
14172	14172
14173	14173
14174	14174
14201	14201
14202	14202
14203	14203
14204	14204
14205	14205
14206	14206
14207	14207
14208	14208
14209	14209
14210	14210
14211	14211
14212	14212
14213	14213
14214	14214
14215	14215
14216	14216
14217	14217
14218	14218
14219	14219
14220	14220
14221	14221
14222	14222
14223	14223
14224	14224
14225	14225
14226	14226
14227	14227
14228	14228
14231	14231
14233	14233
14240	14240
14241	14241
14260	14260
14261	14261
14263	14263
14264	14264
14265	14265
14267	14267
14269	14269
14270	14270
14272	14272
14273	14273
14276	14276
14280	14280
14301	14301
14302	14302
14303	14303
14304	14304
14305	14305
14410	14410
14411	14411
14413	14413
14414	14414
14415	14415
14416	14416
14418	14418
14420	14420
14422	14422
14423	14423
14424	14424
14425	14425
14427	14427
14428	14428
14429	14429
14430	14430
14432	14432
14433	14433
14435	14435
14437	14437
14441	14441
14443	14443
14445	14445
14449	14449
14450	14450
14452	14452
14453	14453
14454	14454
14456	14456
14461	14461
14462	14462
14463	14463
14464	14464
14466	14466
14467	14467
14468	14468
14469	14469
14470	14470
14471	14471
14472	14472
14475	14475
14476	14476
14477	14477
14478	14478
14479	14479
14480	14480
14481	14481
14482	14482
14485	14485
14486	14486
14487	14487
14488	14488
14489	14489
14502	14502
14504	14504
14505	14505
14506	14506
14507	14507
14508	14508
14510	14510
14511	14511
14512	14512
14513	14513
14514	14514
14515	14515
14516	14516
14517	14517
14518	14518
14519	14519
14520	14520
14521	14521
14522	14522
14525	14525
14526	14526
14527	14527
14529	14529
14530	14530
14532	14532
14533	14533
14534	14534
14536	14536
14537	14537
14538	14538
14539	14539
14541	14541
14542	14542
14543	14543
14544	14544
14545	14545
14546	14546
14547	14547
14548	14548
14549	14549
14550	14550
14551	14551
14555	14555
14556	14556
14557	14557
14558	14558
14559	14559
14560	14560
14561	14561
14563	14563
14564	14564
14568	14568
14569	14569
14571	14571
14572	14572
14580	14580
14585	14585
14586	14586
14588	14588
14589	14589
14590	14590
14591	14591
14592	14592
14602	14602
14603	14603
14604	14604
14605	14605
14606	14606
14607	14607
14608	14608
14609	14609
14610	14610
14611	14611
14612	14612
14613	14613
14614	14614
14615	14615
14616	14616
14617	14617
14618	14618
14619	14619
14620	14620
14621	14621
14622	14622
14623	14623
14624	14624
14625	14625
14626	14626
14627	14627
14638	14638
14639	14639
14642	14642
14643	14643
14644	14644
14645	14645
14646	14646
14647	14647
14649	14649
14650	14650
14651	14651
14652	14652
14653	14653
14664	14664
14673	14673
14683	14683
14692	14692
14694	14694
14701	14701
14702	14702
14706	14706
14707	14707
14708	14708
14709	14709
14710	14710
14711	14711
14712	14712
14714	14714
14715	14715
14716	14716
14717	14717
14718	14718
14719	14719
14720	14720
14721	14721
14722	14722
14723	14723
14724	14724
14726	14726
14727	14727
14728	14728
14729	14729
14730	14730
14731	14731
14732	14732
14733	14733
14735	14735
14736	14736
14737	14737
14738	14738
14739	14739
14740	14740
14741	14741
14742	14742
14743	14743
14744	14744
14745	14745
14747	14747
14748	14748
14750	14750
14751	14751
14752	14752
14753	14753
14754	14754
14755	14755
14756	14756
14757	14757
14758	14758
14760	14760
14766	14766
14767	14767
14769	14769
14770	14770
14772	14772
14774	14774
14775	14775
14777	14777
14778	14778
14779	14779
14781	14781
14782	14782
14783	14783
14784	14784
14785	14785
14786	14786
14787	14787
14788	14788
14801	14801
14802	14802
14803	14803
14804	14804
14805	14805
14806	14806
14807	14807
14808	14808
14809	14809
14810	14810
14812	14812
14813	14813
14814	14814
14815	14815
14816	14816
14817	14817
14818	14818
14819	14819
14820	14820
14821	14821
14822	14822
14823	14823
14824	14824
14825	14825
14826	14826
14827	14827
14830	14830
14831	14831
14836	14836
14837	14837
14838	14838
14839	14839
14840	14840
14841	14841
14842	14842
14843	14843
14845	14845
14846	14846
14847	14847
14850	14850
14851	14851
14852	14852
14853	14853
14854	14854
14855	14855
14856	14856
14857	14857
14858	14858
14859	14859
14860	14860
14861	14861
14863	14863
14864	14864
14865	14865
14867	14867
14869	14869
14870	14870
14871	14871
14872	14872
14873	14873
14874	14874
14876	14876
14877	14877
14878	14878
14879	14879
14880	14880
14881	14881
14882	14882
14883	14883
14884	14884
14885	14885
14886	14886
14887	14887
14889	14889
14891	14891
14892	14892
14893	14893
14894	14894
14895	14895
14897	14897
14898	14898
14901	14901
14902	14902
14903	14903
14904	14904
14905	14905
14925	14925
